"","id","uri","siglaTipo","codTipo","numero","ano","ementa"
"27",2204504,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2204504","EMC","130","27","2019","Suprime do texto da Proposta de Emenda à Constituição nº 6, de 2019, dispositivos e expressões relacionados aos trabalhadores rurais."
"28",2204506,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2204506","EMC","130","28","2019","Modifica o sistema de previdência social, estabelece regras de transição e disposições transitórias, e dá outras providências."
"29",2204507,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2204507","EMC","130","29","2019","Estabelece modelo de previdência baseado em três pilares: social de um salário mínimo; de sistema de repartição com regras reparametrizadas e de regime de capitalização complementar com a obrigatoriedade da contribuição patronal."
"30",2204571,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2204571","EMC","130","30","2019","EMENDA MODIFICATIVA 
(Altera os arts. 22 e 24 da PEC nº 6/2019.)"
"31",2204580,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2204580","EMC","130","31","2019","Dê-se ao art. 3º constante do Capítulo III da PEC 06, de 2019, a seguinte redação:"
"32",2204582,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2204582","EMC","130","32","2019","Dê-se ao art. 3º constante do Capítulo III da PEC 06, de 2019."
"33",2204617,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2204617","EMC","130","33","2019","Suprime dispositivos da PEC 6, de 2019 que tratam da alíquota de contribuição."
"34",2204618,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2204618","EMC","130","34","2019","Modifica o sistema de previdência social, estabelece regras de transição e disposições transitórias, e dá outras providências."
"35",2204619,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2204619","EMC","130","35","2019","Altera o art. 8º, §1º, incisos II e III, suprime o atual inciso III, do art. 8º, § 1º,  renumera o seu atual inciso IV,  para inciso III, altera o art. 8º, § 2º, suprime o inciso II, do parágrafo 7º, do art. 12, suprime o parágrafo 9º, do art. 12, bem como suprime os incisos III e V do parágrafo 10 do Art. 12, todos da PEC 06/2019, que modifica o sistema de previdência social, estabelece regras de transição e disposições transitórias, e dá outras providências."
"36",2204621,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2204621","EMC","130","36","2019","Suprime as redações dadas ao § 6º do art. 40, ao art. 201-A e o art. 115 constantes dos artigos 1º e 2º da PEC 6 de 2019."
"37",2204631,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2204631","EMC","130","37","2019","Art 1º. Dê-se ao artigo 3º da PEC n. 6/2019, caput e parágrafos, a seguinte redação:"
"38",2204639,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2204639","EMC","130","38","2019","Acrescente-se ao art. 1º da Proposta de Emenda à Constituição nº 6, de 2019, a seguinte redação:"
