"","uri","nome","codTipo","tipo","ordemAssinatura","proponente","id_emenda","id_deputado"
"322","https://dadosabertos.camara.leg.br/api/v2/deputados/204466","Tereza Nelma",10000,"Deputado",5,1,2205876,204466
"323","https://dadosabertos.camara.leg.br/api/v2/deputados/204471","Mara Rocha",10000,"Deputado",1,1,2205876,204471
"324","https://dadosabertos.camara.leg.br/api/v2/deputados/207176","Bia Cavassa",10000,"Deputado",2,1,2205876,207176
"325","https://dadosabertos.camara.leg.br/api/v2/deputados/204428","Marília Arraes",10000,"Deputado",1,1,2205877,204428
"326","https://dadosabertos.camara.leg.br/api/v2/deputados/204428","Marília Arraes",10000,"Deputado",1,1,2205878,204428
"327","https://dadosabertos.camara.leg.br/api/v2/deputados/73586","Júlio Delgado",10000,"Deputado",1,1,2205880,73586
"328","https://dadosabertos.camara.leg.br/api/v2/deputados/74044","Wilson Santiago",10000,"Deputado",11,1,2205882,74044
"329","https://dadosabertos.camara.leg.br/api/v2/deputados/75431","Maurício Dziedricki",10000,"Deputado",6,1,2205882,75431
"330","https://dadosabertos.camara.leg.br/api/v2/deputados/90201","Pedro Augusto Bezerra",10000,"Deputado",10,1,2205882,90201
"331","https://dadosabertos.camara.leg.br/api/v2/deputados/90842","Santini",10000,"Deputado",8,1,2205882,90842
"332","https://dadosabertos.camara.leg.br/api/v2/deputados/122974","Pedro Lucas Fernandes",10000,"Deputado",1,1,2205882,122974
"333","https://dadosabertos.camara.leg.br/api/v2/deputados/133810","Marcelo Moraes",10000,"Deputado",5,1,2205882,133810
"334","https://dadosabertos.camara.leg.br/api/v2/deputados/194260","Nivaldo Albuquerque",10000,"Deputado",9,1,2205882,194260
"335","https://dadosabertos.camara.leg.br/api/v2/deputados/198783","Emanuel Pinheiro Neto",10000,"Deputado",4,1,2205882,198783
"336","https://dadosabertos.camara.leg.br/api/v2/deputados/204410","Luisa Canziani",10000,"Deputado",3,1,2205882,204410
"337","https://dadosabertos.camara.leg.br/api/v2/deputados/204500","Eduardo Costa",10000,"Deputado",2,1,2205882,204500
